ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
115.557587036398,-14.6481822208446,3029590426467973504,16.931,0.6115,0.0803,1.141064,4903.0,0.292,0.14
115.5608025471209,-14.5273780544181,3029605609169900928,18.889,0.7487,0.2604,1.809799,,,
115.4929275026205,-14.5578064744235,3029604028621807104,17.972,0.7936,0.1927,1.665684,,,
115.5365893512261,-14.6164351540959,3029591457260125568,13.939,0.5728,0.026,0.715213,6288.0,,
115.602817530765,-14.7206179831219,3029586921774659840,16.072,0.6255,0.0552,0.953642,5384.0,0.136,0.067
115.5166143302511,-14.567659162141,3029603964204885760,17.243,0.37,0.0985,1.291401,,,
115.5327926747183,-14.5916568112636,3029603689326978688,15.79,0.5292,0.0462,0.929418,5432.5,,
115.736410787457,-14.661353010729,3029588124365361536,13.949,0.6287,0.0243,0.543456,7127.0,,
115.6007415552626,-14.7107247674154,3029586956134396544,18.349,0.4899,0.1816,1.582657,,,
115.5642327360701,-14.3072316816602,3029618047393562752,18.413,0.5614,0.1654,1.619385,,,
115.5781166254249,-14.67942383042,3029590048510850816,13.385,0.592,0.0252,0.356203,7831.0,0.553,0.293
115.5182112057767,-14.3024819867321,3029617909954611968,19.292,0.5909,0.2804,2.076321,,,
115.4838352189367,-14.4051437813543,3029610247738273536,18.411,0.2576,0.1974,1.574213,,,
115.5311651111086,-14.3031593738445,3029617909954611456,19.511,1.4223,0.3648,2.427443,,,
115.8620838617867,-14.3686340781836,3029602722952510208,18.757,0.5606,0.2227,1.700764,,,
115.5328468113287,-14.5699017933897,3029603788102277120,12.804,0.5994,0.0395,0.230681,8939.5,,
115.6556204973414,-14.5623158680437,3029593411464914560,19.288,0.3124,0.3213,2.199925,,,
115.5820797540331,-14.7023823745856,3029589941128525312,18.963,0.6401,0.3173,1.851006,,,
115.5678999911635,-14.4973943769255,3029605815328456960,19.372,0.4471,0.357,2.26441,,,
115.6763374311997,-14.5637927632124,3029592969088470656,16.342,0.5169,0.0577,1.000067,5338.0,0.396,0.2065
115.5872902106171,-14.6763841846034,3029590151590060544,16.934,0.7307,0.0803,1.15567,4932.0,0.09,0.044
115.6412949798239,-14.6761778422611,3029587471525234560,18.682,0.7416,0.2278,1.68565,,,
115.7635757718865,-14.449187568165,3029600425145835264,19.499,0.8378,0.6841,1.892746,,,
115.6080905222624,-14.7103298276519,3029586956134392704,15.969,0.5706,0.0541,0.946117,5281.5,,
