#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-7637-56933-0240.fits,sdssdr12,-72.69333333,M6,-0.5,7637,56933,240
spec-10925-58271-0978.fits,sdssdr12,47.7925,M0,0.5,10925,58271,978
spec-10908-58392-0956.fits,sdssdr12,-70.3175,K4,-1,10908,58392,956
spec-8363-58140-0462.fits,sdssdr12,39.41,M3,0.5,8363,58140,462
spec-9360-58055-0294.fits,sdssdr12,-61.65,G7,-1.5,9360,58055,294
spec-7615-56977-0416.fits,sdssdr12,-21.72,K7,0.5,7615,56977,416
spec-7387-57038-0981.fits,sdssdr12,-100.4783333,G4+WD10,0,7387,57038,981
spec-7292-56709-0664.fits,sdssdr12,-30.48666667,M2,0,7292,56709,664
spec-7672-57339-0486.fits,sdssdr12,46.1575,F5,-1,7672,57339,486
spec-7748-58396-0788.fits,sdssdr12,-98.93166666,M1,0.5,7748,58396,788
spec-7425-56777-0870.fits,sdssdr12,42.30166667,M3,0.5,7425,56777,870
spec-8493-58162-0447.fits,sdssdr12,-26.43333333,M5,0.5,8493,58162,447
spec-7629-56988-0782.fits,sdssdr12,-43.59833333,M5,0.5,7629,56988,782
spec-7388-56783-0406.fits,sdssdr12,-5.303333333,M3,0.5,7388,56783,406
spec-8226-57423-0034.fits,sdssdr12,-4.915,M1,0.5,8226,57423,34
spec-7428-56781-0926.fits,sdssdr12,-69.93666666,M1,0.5,7428,56781,926
spec-8178-57428-0032.fits,sdssdr12,42.39666667,M3,0.5,8178,57428,32
spec-7401-56808-0592.fits,sdssdr12,21.54666667,M3,0.5,7401,56808,592
spec-7414-56748-0018.fits,sdssdr12,-57.20333333,M2,1,7414,56748,18
spec-10756-58226-0623.fits,sdssdr12,-122.52,M4,0.5,10756,58226,623
spec-7394-57131-0234.fits,sdssdr12,144.0966667,K4+M1,0,7394,57131,234
spec-7396-56809-0714.fits,sdssdr12,30.33833333,M3,0.5,7396,56809,714
spec-8417-58175-0013.fits,sdssdr12,-5.03,M4,0.5,8417,58175,13
spec-11060-58523-0614.fits,sdssdr12,-46.17166667,M2,0,11060,58523,614
spec-7644-57327-0190.fits,sdssdr12,-45.24666667,M2,0,7644,57327,190
spec-10659-58161-0702.fits,sdssdr12,-50.94166667,M2,1,10659,58161,702
spec-8054-57194-0922.fits,sdssdr12,-26.2175,F7,0,8054,57194,922
spec-7824-57282-0543.fits,sdssdr12,-173.3766667,F3,0,7824,57282,543
spec-7722-58425-0095.fits,sdssdr12,-83.065,M1+WD2,0,7722,58425,95
spec-7765-58047-0598.fits,sdssdr12,-22.2325,M5,0.5,7765,58047,598
spec-8221-58198-0766.fits,sdssdr12,-59.875,M5,0.5,8221,58198,766
spec-7413-56769-0035.fits,sdssdr12,-12.24333333,M3,-1,7413,56769,35
spec-7387-57038-0082.fits,sdssdr12,-58.35666666,M1,0.5,7387,57038,82
spec-7662-57358-0332.fits,sdssdr12,-6.843333333,M3,-1,7662,57358,332
spec-8361-57731-0005.fits,sdssdr12,5.248333333,M5,0.5,8361,57731,5
spec-7760-58080-0491.fits,sdssdr12,-79.1325,K4+M0,0,7760,58080,491
spec-8410-57481-0956.fits,sdssdr12,-154.08,A7,0,8410,57481,956
spec-5966-56101-0874.fits,sdssdr12,-120.5783333,K2,-1,5966,56101,874
spec-7720-58101-0172.fits,sdssdr12,-140.6825,M1,-0.5,7720,58101,172
spec-8222-57431-0416.fits,sdssdr12,-27.46,K4+M1,0,8222,57431,416
spec-7384-56715-0430.fits,sdssdr12,58,F7,-1,7384,56715,430
spec-10243-58159-0032.fits,sdssdr12,50.145,F3,0,10243,58159,32
spec-7512-56777-0872.fits,sdssdr12,12.29,M1,0.5,7512,56777,872
spec-7377-56741-0996.fits,sdssdr12,46.01833333,M3,-1,7377,56741,996
spec-7747-58398-0860.fits,sdssdr12,-107.155,M1,0.5,7747,58398,860
spec-11347-58440-0756.fits,sdssdr12,-33.345,K5,-0.5,11347,58440,756
spec-2790-54555-0312.fits,sdssdr12,60.79833333,F3,0,2790,54555,312
spec-7288-57039-0898.fits,sdssdr12,-73.665,M2,1,7288,57039,898
spec-7516-56782-0644.fits,sdssdr12,31.82333333,M5,0.5,7516,56782,644
spec-7318-56990-0685.fits,sdssdr12,-45.335,G9+K3,0,7318,56990,685
spec-7906-57333-0949.fits,sdssdr12,40.755,G9+K5,0,7906,57333,949
spec-8761-58430-0650.fits,sdssdr12,-66.56833333,C3,0,8761,58430,650
spec-8168-56992-0405.fits,sdssdr12,-116.72,K7+M2,0,8168,56992,405
spec-7303-57013-0373.fits,sdssdr12,12.99666667,M3,0.5,7303,57013,373
spec-7328-56715-0444.fits,sdssdr12,-9.155,M5,0.5,7328,56715,444
spec-7709-57666-0888.fits,sdssdr12,-39.69,M3,-1,7709,57666,888
